101,"c",8830.00,1
102,"s",6325.00,1
201,"s",7945.00,1
202,"s",8932.00,1
203,"s",9165.00,1
204,"s",8080.00,1
205,"s",9266.00,1
301,"c",1500.00,1
302,"c",11900.00,1
303,"c",5211.00,1
304,"c",12100.00,1
401,"s",9411.00,1
402,"s",5546.00,1
501,"c",5220.00,1
502,"c",9710.00,1
503,"c",46550.00,1
601,"c",18870.00,1
701,"c",8159.00,1
702,"s",49040.00,1
703,"s",33070.00,1
801,"c",9209.00,1
802,"c",6287.00,1
803,"c",9919.00,1
804,"s",9370.00,1
805,"c",26870.00,1
901,"c",5597.00,1
902,"s",12890.00,1
903,"s",7054.00,1
1001,"s",5510.00,1
1002,"s",9021.00,1
1003,"c",970.00,1
1004,"s",35150.00,1
1005,"c",49420.00,1
1101,"s",1340.00,1
1201,"s",7862.00,1
1202,"c",9141.00,1
1203,"c",30320.00,1
1204,"s",8840.00,1
1301,"s",33210.00,1
1401,"s",44120.00,1
1402,"s",8402.00,1
1403,"c",5952.00,1
1404,"c",19220.00,1
1501,"c",7583.00,1
1502,"s",7678.00,1
1503,"s",20290.00,1
1504,"c",8938.00,1
1601,"s",7637.00,1
1602,"s",9231.00,1
1701,"s",6841.00,1
1702,"s",10930.00,1
1801,"c",5672.00,1
1901,"s",7277.00,1
1902,"s",6855.00,1
1903,"s",29820.00,1
1904,"c",42870.00,1
1905,"c",6175.00,1
2001,"s",6840.00,1
2002,"c",3160.00,1
2101,"c",9316.00,1
2201,"c",5570.00,1
2202,"s",6390.00,1
2203,"c",12770.00,1
2301,"s",1320.00,1
2401,"s",8100.00,1
2402,"c",8864.00,1
2403,"c",14810.00,1
2404,"c",15840.00,1
2405,"c",8636.00,1
2501,"s",240.00,1
2502,"s",8573.00,1
2503,"c",5056.00,1
2504,"c",8533.00,1
2601,"c",5306.00,1
2602,"c",16700.00,1
2603,"s",15020.00,1
2701,"c",48970.00,1
2702,"c",7188.00,1
2703,"s",5365.00,1
2704,"c",36760.00,1
2801,"c",9574.00,1
2901,"s",38430.00,1
2902,"c",39520.00,1
2903,"s",39490.00,1
3001,"c",48640.00,1
3002,"s",34300.00,1
3003,"c",23190.00,1
3101,"c",45720.00,1
3102,"s",6458.00,1
3103,"c",6145.00,1
3201,"c",8231.00,1
3301,"s",41100.00,1
3302,"c",9548.00,1
3401,"s",9342.00,1
3402,"c",37240.00,1
3403,"s",8718.00,1
3501,"s",6835.00,1
3502,"s",7056.00,1
3503,"s",6526.00,1
3504,"c",5640.00,1
3505,"s",17400.00,1
3601,"c",30390.00,1
3701,"c",5081.00,1
3702,"s",6771.00,1
3703,"s",28300.00,1
3801,"s",23540.00,1
3802,"c",9677.00,1
3803,"c",7579.00,1
3901,"s",22450.00,1
3902,"c",40580.00,1
3903,"c",8580.00,1
4001,"s",9304.00,1
4002,"s",22290.00,1
4101,"s",28090.00,1
4102,"c",9941.00,1
4103,"c",8772.00,1
4201,"s",9717.00,1
4202,"c",40560.00,1
4301,"s",8152.00,1
4302,"c",6394.00,1
4303,"s",48660.00,1
4401,"c",9335.00,1
4402,"s",1090.00,1
4501,"s",9471.00,1
4502,"s",5793.00,1
4601,"s",9914.00,1
4602,"c",9070.00,1
4701,"c",15900.00,1
4801,"c",5476.00,1
4802,"s",36940.00,1
4901,"c",31770.00,1
4902,"s",9222.00,1
4903,"s",21800.00,1
4904,"c",6894.00,1
5001,"s",5444.00,1
5002,"c",7639.00,1
5101,"c",7093.00,1
5102,"s",9310.00,1
5103,"s",37950.00,1
5201,"c",8052.00,1
5301,"s",23640.00,1
5401,"c",7645.00,1
5402,"s",4680.00,1
5501,"c",8125.00,1
5502,"s",6852.00,1
5503,"s",18210.00,1
5504,"s",9833.00,1
5505,"s",17080.00,1
5601,"s",28600.00,1
5701,"c",30080.00,1
5702,"s",40400.00,1
5801,"s",41640.00,1
5802,"s",5806.00,1
5803,"s",16300.00,1
5901,"c",8859.00,1
5902,"c",47390.00,1
6001,"c",7592.00,1
6002,"c",8566.00,1
6101,"c",5958.00,1
6102,"s",30580.00,1
6201,"s",6621.00,1
6301,"c",5275.00,1
6302,"s",8423.00,1
6401,"c",5847.00,1
6402,"s",13820.00,1
6403,"c",14200.00,1
6404,"c",24190.00,1
6501,"s",7823.00,1
6502,"s",8592.00,1
6601,"c",5380.00,1
6602,"s",28170.00,1
6701,"c",40210.00,1
6702,"s",8301.00,1
6703,"s",9153.00,1
